Title ID	PSN Name	Region	Match Type	Redump Title	Serial
NPUI00571	Vib-Ribbon	US	exact(other region)	Vib-Ribbon	PAPX-90101 / PAPX-90102 / SCES-02873 / SCPS-18012 / SCPS-45469 / SCPS-91213 / SCPS-91308
NPUI94103	Jumping Flash!	US	exact	Jumping Flash!	SCUS-94103
NPUI94108	Jumping Flash! 2	US	exact	Jumping Flash! 2	SCUS-94108
NPUI94154	Crash Bandicoot 2: Cortex Strikes Back	US	exact	Crash Bandicoot 2: Cortex Strikes Back	SCUS-94154
NPUI94167	Jet Moto 2	US	fuzzy:0.95	Jet Moto | Jet Moto 3 | Jet Moto 3 (Demo)	SCUS-94309 / SCUS-94384 / SCUS-94555
NPUI94199	Bloody Roar	US	exact	Bloody Roar	SCUS-94199
NPUI94227	MediEvil	US	exact	MediEvil | MediEvil (Demo)	SCUS-94227 / SCUS-94291
NPUI94228	Spyro the Dragon	US	exact	Spyro the Dragon | Spyro the Dragon (Demo 1) | Spyro the Dragon (Demo 2)	SCUS-94228 / SCUS-94290 / SCUS-94439
NPUI94240	Syphon Filter	US	exact	Syphon Filter (Demo) | Syphon Filter (Rev 1)	SCUS-94240 / SCUS-94362
NPUI94244	Crash Bandicoot 3: Warped	US	exact(other region)	Crash Bandicoot 3: Warped	SCES-01420
NPUI94251	Cool Boarders 3	US	exact	Cool Boarders 3 | Cool Boarders 3 (Demo)	SCUS-94251 / SCUS-94374
NPUI94301	WipEout	US	exact	WipEout	SCUS-94301
NPUI94302	Destruction Derby	US	exact	Destruction Derby	SCUS-94302
NPUI94304	Twisted Metal	US	exact	Twisted Metal	SCUS-94304
NPUI94305	Warhawk	US	fuzzy:0.88	Warhawk: The Red Mercury Missions	SCUS-94305
NPUI94306	Twisted Metal 2	US	exact	Twisted Metal 2	SCUS-94306
NPUI94308	Rally Cross	US	exact	Rally Cross	SCUS-94308
NPUI94309	Jet Moto	US	exact	Jet Moto	SCUS-94309
NPUI94356	Cool Boarders	US	exact	Cool Boarders	SCUS-94356
NPUI94358	Cool Boarders 2	US	exact	Cool Boarders 2	SCUS-94358
NPUI94425	Spyro 2: Ripto’s Rage	US	exact	Spyro 2: Ripto's Rage! | Spyro 2: Ripto's Rage! (Demo)	SCUS-94425 / SCUS-94460
NPUI94426	Crash Team Racing	US	fuzzy:0.93	CTR: Crash Team Racing | CTR: Crash Team Racing (Demo)	SCUS-94426 / SCUS-94459
NPUI94448	Um Jammer Lammy	US	exact	Um Jammer Lammy | Um Jammer Lammy (Demo)	SCUS-94398 / SCUS-94448
NPUI94451	Syphon Filter 2	US	exact	Syphon Filter 2 | Syphon Filter 2 (Disc 1) | Syphon Filter 2 (Disc 2)	PSRM-017100 / SCUS-94393 / SCUS-94451 / SCUS-94492
NPUI94467	Spyro 3: Year of the Dragon	US	fuzzy:0.96	Spyro: Year of the Dragon (Demo) | Spyro: Year of the Dragon (Rev 1)	SCUS-94467 / SCUS-94615
NPUI94476	Hot Shots Golf 2	US	exact	Hot Shots Golf 2 | Hot Shots Golf 2 (Demo)	SCUS-94476 / SCUS-94495 / SCUS-94776
